product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,04-11-2022,02:48:53
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,04-11-2022,02:48:53
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,04-11-2022,02:48:53
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,04-11-2022,02:48:53
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,04-11-2022,02:48:53
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,04-11-2022,02:48:53
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,04-11-2022,02:48:53
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,05-11-2022,12:35:28
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,05-11-2022,12:35:28
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,05-11-2022,12:35:28
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,05-11-2022,12:35:28
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,05-11-2022,12:35:28
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,05-11-2022,12:35:28
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,05-11-2022,12:35:28
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,05-11-2022,12:35:28
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,05-11-2022,12:35:28
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,06-11-2022,15:51:29
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,06-11-2022,15:51:29
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,06-11-2022,15:51:29
Nestle Milo Activ-Go Powder Drink Pouch,250 gm,250,gm,৳ 270,270,,,06-11-2022,15:51:29
Horlicks Health And Nutrition Drink Jar,500 gm,500,gm,৳ 420,420,,,06-11-2022,15:51:29
Nestle Milo Activ-Go Chocolate Powder Drink Tin,400 gm,400,gm,৳ 430,430,,,06-11-2022,15:51:29
Biomil Infant Milk Cereal 3 Fruits (6 Months),350 gm,350,gm,৳ 350,350,,,06-11-2022,15:51:29
Biomil Infant Milk Cereal 3 Fruits (6 Months),175 gm,175,gm,৳ 180,180,,,06-11-2022,15:51:29
Nestle Nido Growing Up 1+ Tin,900 gm,900,gm,"৳ 3,129",3129,,,06-11-2022,15:51:29
Nestlé Nido 3+ Growing Up Milk Powder (3-5 Y),350 gm,350,gm,৳ 400,400,,,07-11-2022,03:13:57
Pran Chocolate Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,07-11-2022,03:13:57
Pran Mango Flavored Milk (Pouch),180 ml,180,ml,৳ 25,25,,,07-11-2022,03:13:57
