product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 271,271,30-10-2022,18:17:47
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,30-10-2022,18:17:47
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,30-10-2022,18:17:47
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,30-10-2022,18:17:47
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 479,479,৳ 449,449,30-10-2022,18:17:47
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 599,599,৳ 519,519,30-10-2022,18:17:47
Chicken Liver Gizzard Mix,1 kg,1,kg,৳ 249,249,৳ 229,229,30-10-2022,18:17:47
Whole Layer Chicken Skin Off (Net Weight ± 50 gm),800 gm,800,gm,৳ 529,529,৳ 459,459,30-10-2022,18:17:47
Broiler Chicken Skin Off ± 50 gm,1 kg,1,kg,৳ 329,329,৳ 319,319,31-10-2022,05:48:04
Cock Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 315,315,৳ 309,309,31-10-2022,05:48:04
Broiler Chicken Skin On ± 50 gm,1 kg,1,kg,৳ 315,315,৳ 279,279,31-10-2022,05:48:04
Roast Chicken ± 10 gm,275 gm,275,gm,৳ 189,189,৳ 179,179,31-10-2022,05:48:04
Bengal Meat Whole Chicken Curry Cut ± 50 gm,1 kg,1,kg,৳ 350,350,,,31-10-2022,05:48:04
Pigeon Meat,each,1,each,৳ 169,169,৳ 159,159,31-10-2022,05:48:04
Whole Deshi Chicken Skin Off ± 25 gm,500 gm,500,gm,৳ 479,479,৳ 459,459,31-10-2022,05:48:04
Whole Deshi Duck (Hash) With Skin,900 gm,900,gm,৳ 599,599,৳ 509,509,31-10-2022,05:48:04
